title,description,link,image
Assista ao Boa Noite Espírito Santo,As principais notícias do dia no Espírito Santo.,https://g1.globo.com/es/espirito-santo/ao-vivo/ao-vivo-assista-ao-boa-noite-espirito-santo.ghtml,https://s2-g1.glbimg.com/cWEiGuhb6qKgZYpK5EuyktKjllQ=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/89/61/13686189
Assista aos telejornais da TV Liberal,Acompanhe diariamente a transmissão do Jornal Liberal 1ª e 2ª Edição.,https://g1.globo.com/pa/para/ao-vivo/assista-aos-telejornais-da-tv-liberal.ghtml,https://s2-g1.glbimg.com/5eE40PvK1n0YtAgFk0NVnM7UpJ4=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/77/83/2168377
EPTV2 - Ribeirão e Franca,Transmissão encerrada.,https://g1.globo.com/sp/ribeirao-preto-franca/ao-vivo/eptv-2-ribeirao-e-franca-ao-vivo.ghtml,https://s2-g1.glbimg.com/0PQZCy4Rc7NtWET7cntPQb3V5Is=/540x304/top/smart/s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2020/V/h/hFmDSxS6m7LBBPA0SAlg/still0418-00010.jpg
Milagres: mulher vence câncer e realiza sonho de ser mãe após 10 abortos em MS,"Empresária atribui a benção da gravidez, após vencer o câncer e 10 abortos, à Nossa Senhora do Perpétuo Socorro, celebrada nesta sexta (27).",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2025/06/27/milagres-mulher-vence-cancer-e-realiza-sonho-de-ser-mae-apos-10-abortos-em-ms.ghtml,https://s2-g1.glbimg.com/plQ3Yii32AN1EyCJqGsqtpnzHzs=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/J/1/lbZXfYQKO9jBEU1aZfUA/canva-63-.png
EPTV 2 Piracicaba ao vivo,Assista diariamente ao telejornal da EPTV pela internet.,https://g1.globo.com/sp/piracicaba-regiao/ao-vivo/eptv-2-piracicaba-ao-vivo.ghtml,https://s2-g1.glbimg.com/TfEwjum1ynn7WEb6Y4AwT1GGgtc=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/93/01/12860193
Mapa interativo: Saiba de onde são os moradores que vieram de outros estados para morar em sua cidade,"Vale do Paraíba e região bragantina têm mais de 680 mil moradores vindos de outros estados, aponta IBGE.",https://g1.globo.com/sp/vale-do-paraiba-regiao/noticia/2025/06/27/mapa-interativo-saiba-de-onde-sao-os-moradores-que-vieram-de-outros-estados-para-morar-em-sua-cidade.ghtml,https://s2-g1.glbimg.com/KeiA0hE1JeYgAUGthjSdTpU0c-8=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2024/q/2/qFrr1fQ4SK4QD8f79FxQ/sahy.jpg
"Stand-up comedy, Grupo Feitiço, teatro, dança e música; g1 reúne atrações para o fim de semana","Eventos acontecem em cidades da Baixada Santista nesta sexta-feira (27), sábado (28) e domingo (29).",https://g1.globo.com/sp/santos-regiao/o-que-fazer-em-santos/noticia/2025/06/27/stand-up-comedy-grupo-feitico-teatro-danca-e-musica-g1-reune-atracoes-para-o-fim-de-semana.ghtml,https://s2-g1.glbimg.com/u9wvU1vWhdF6C3pP8c7gUdkm3SM=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/J/4/23nqhBRtSKHa5jAgOpoQ/fotos-g1-44-.png
Jovens são mortos a tiros após invasão de grupo em condomínio de Várzea Grande (MT),Ainda não há informações sobre a motivação do crime nem sobre a identidade dos autores.  O caso segue em investigação.,https://g1.globo.com/mt/mato-grosso/noticia/2025/06/27/jovens-sao-mortos-a-tiros-apos-invasao-de-grupo-em-condominio-de-varzea-grande-mt.ghtml,https://s2-g1.glbimg.com/zCuIM2pvuS8NSfntc7fJOUrv1P4=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/y/S/xHd33lS0iYiFZ6o2PFQg/jardes-g1-15-.png
MS-040 é liberada após carreta carregada com diesel tombar e pegar fogo,"O motorista relatou à Polícia Militar Rodoviária que fez um desvio brusco na pista, perdeu o controle da direção e tombou a carreta. Não houve vítimas.",https://g1.globo.com/ms/mato-grosso-do-sul/noticia/2025/06/27/m2-040-e-liberada-apos-carreta-carregada-com-diesel-tombar-e-pegar-fogo.ghtml,https://s2-g1.glbimg.com/875DO00YJoho4R_htPPqr3PuBYk=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/l/z/9lMhATSk6hVuxceDKjxA/carreta-fogo.jpg
Veja o EPTV 2 Campinas ao vivo,Assista diariamente ao telejornal da EPTV pela internet.,https://g1.globo.com/sp/campinas-regiao/ao-vivo/veja-o-eptv-2-campinas-ao-vivo.ghtml,https://s2-g1.glbimg.com/TfEwjum1ynn7WEb6Y4AwT1GGgtc=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/93/01/12860193
