title,description,link,image
Justiça determina afastamento do deputado Marcos Muller por suspeita de rachadinha,"Em agosto de 2023, a Justiça já havia aceitado a denúncia contra o parlamentar, que se tornou réu pelos crimes de peculato, lavagem de dinheiro e associação criminosa. Os indícios apontam que Muller teria incorporado ao seu patrimônio pelo menos R$ 902 mil durante o período em que exerceu mandato na Assembleia Legislativa do Rio (Alerj).",https://g1.globo.com/rj/rio-de-janeiro/noticia/2025/06/27/justica-determina-afastamento-do-deputado-marcos-muller-por-suspeita-de-rachadinha.ghtml,https://s2-g1.glbimg.com/z4FUXqR2NGeXi5hQI3IGqNgc9dM=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2022/d/w/2XhAoyTK68esdJMAVpyA/deputado-marcus-muller.jpg
"Três homens são atropelados durante trabalho de revitalização da RJ-145, em Barra do Piraí","Segundo Comando de Policiamento Rodoviário, as vítimas estão fora de perigo.",https://g1.globo.com/rj/sul-do-rio-costa-verde/noticia/2025/06/27/tres-homens-sao-atropelados-durante-trabalho-de-revitalizacao-da-rj-145-em-barra-do-pirai.ghtml,https://s2-g1.glbimg.com/SAbOT9qBvyU_--2xvONQlcb3Ybw=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/w/j/17c85zTEWcKQJKkZQ1pw/f3c04c62-ff8d-45d8-b98a-bc3b83b56bb6.jfif
Veja o EPTV 2 Campinas ao vivo,Assista diariamente ao telejornal da EPTV pela internet.,https://g1.globo.com/sp/campinas-regiao/ao-vivo/veja-o-eptv-2-campinas-ao-vivo.ghtml,https://s2-g1.glbimg.com/TfEwjum1ynn7WEb6Y4AwT1GGgtc=/540x304/top/smart/filters:max_age(3600)/https://s01.video.glbimg.com/deo/vi/93/01/12860193
Modelo do ES faz história ao vencer o Miss Supranational 2025 e conquistar o 1º título do Brasil,"Modelo Eduarda Braum, de 24 anos, é natural de Afonso Cláudio, no interior do Espírito Santo. Ela foi coroada nesta sexta (27), em competição na Polônia.",https://g1.globo.com/es/espirito-santo/noticia/2025/06/27/modelo-do-es-faz-historia-ao-vencer-o-miss-supranational-2025-e-conquistar-o-1o-titulo-do-brasil.ghtml,https://s2-g1.glbimg.com/A3Eyumeo9w7rEMvWzBFs-JwDS3Q=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/t/4/e9DpnoQrOdCOKfJDuBSw/eduarda-braum-como-miss-supranational-2789951-article.jpg
Fortaleça sua liderança: Sebrae Ceará lança programa Lidere para 2025,"O Lidere oferece uma combinação poderosa de teoria, prática e acompanhamento individual com 32 horas de workshops presenciais.",https://g1.globo.com/ce/ceara/especial-publicitario/sebrae-ceara/inovacao-e-negocios/noticia/2025/06/27/fortaleca-sua-lideranca-sebrae-ceara-lanca-programa-lidere-para-2025.ghtml,https://s2-g1.glbimg.com/k4Wf9AG6103xj2jnMyU2Qb_lM6w=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/6/M/hdMJm9T7uhP346735qWw/lidere.png
Polícia apreende 30 animais abatidos e multa caçador em R$ 45 mil no Sul do Piauí,"Os animais são de espécies ameaçadas como tatu-bola, jacutinga, zabelê e caititu. A operação ocorreu nos parques nacionais Serra das Confusões e Serra da Capivara.",https://g1.globo.com/pi/piaui/noticia/2025/06/27/policia-apreende-30-animais-abatidos-e-multa-cacador-em-r-45-mil-no-sul-do-piaui.ghtml,https://s2-g1.glbimg.com/DkJRDvHHh2n9u368p0wlPX4Fkno=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/7/l/SvnxPKQqSS9UiPXCBW2Q/padrao-imagem-g1-30-.png
"Operação 'Eixo Duplo' prende nove pessoas no combate ao tráfico de drogas em Passos, MG","Ao todo, nove pessoas foram presas, sendo duas em flagrante.",https://g1.globo.com/mg/sul-de-minas/noticia/2025/06/27/operacao-eixo-duplo-prende-nove-pessoas-no-combate-ao-trafico-de-drogas-em-passos-mg.ghtml,https://s2-g1.glbimg.com/wiIJ2Xc6PZw8TrWqPgvYBRI8Klk=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/Y/T/rkvcxdRoO7mNg59ctT6w/operacao.png
Dupla é presa após roubo de carga e perseguição em Belém,Veículo usado no crime e parte dos produtos roubados foram recuperados; suspeitos têm passagens anteriores pelo sistema prisional.,https://g1.globo.com/pa/para/noticia/2025/06/27/dupla-e-presa-apos-roubo-de-carga-e-perseguicao-em-belem.ghtml,https://s2-g1.glbimg.com/oGTJJNNf4cj9j4q-hw8rRFEBcos=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/g/C/IP8N3oTg6LmpiOBQXBiA/whatsapp-image-2025-06-27-at-18.06.25.jpeg
Cobra gigante aparece em condomínio e assusta moradores no Grande Recife; VÍDEO,"Imagens de uma câmera de segurança mostram o animal rastejando em cima do muro de um residencial. Segundo testemunhas, serpente tem, no mínimo, três metros de comprimento.",https://g1.globo.com/pe/pernambuco/noticia/2025/06/27/cobra-gigante-aparece-em-condominio-e-assusta-moradores-no-grande-recife-video.ghtml,https://s2-g1.glbimg.com/tFrUH3xMqUOEjtpPIB1PfrxakOA=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/r/b/xdSYnRRdi2p4zgVNLwGQ/cobra-muro.jpg
Trump anuncia fim de negociações com o Canadá e ameaça aumentar tarifas contra o país,A medida é uma resposta ao imposto sobre serviços digitais aplicado por Ottawa às empresas de tecnologia norte-americanas. O republicano afirmou que a nova taxa sobre produtos canadenses deverá ser divulgada dentro dos próximos sete dias.,https://g1.globo.com/economia/noticia/2025/06/27/trump-negociacoes-canada-tarifas.ghtml,https://s2-g1.glbimg.com/UPdrViOiEyg3MmlHm1RMm3lzYME=/540x304/top/smart/https://i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2025/I/6/xhxteIQMqFYdAlBmxE1g/2025-06-27t162225z-2064190469-rc24bfaatgb0-rtrmadp-3-usa-trump.jpg
